663399651.95,-868368154.61,2154719024.07,565024569.38,-926407326.55,2151026154.37,410462312.98,-335776975.78,2138734831.57
A1,A2,A3,B1,B2,B3,C1,C2,C3
668871283.21,-863192495.31,2165921441.06,561585527.77,-929350952.58,2161921319.14,416954146.65,-349090759.37,2150157249.80
A1,A2,A3,B1,B2,B3,C1,C2,C3
673119516.40,-858431337.47,2177101298.90,559182513.72,-931351802.88,2172878509.63,423653695.51,-362959265.30,2161620201.46
A1,A2,A3,B1,B2,B3,C1,C2,C3
676219477.26,-854049968.90,2188261509.21,557733807.02,-932428338.03,2183894374.99,430567554.03,-377398745.23,2173124125.80
A1,A2,A3,B1,B2,B3,C1,C2,C3
678217814.90,-850025464.64,2199403866.87,557185409.73,-932585323.26,2194966630.33,437703071.06,-392427358.84,2184669512.79
A1,A2,A3,B1,B2,B3,C1,C2,C3
679140536.29,-846344249.05,2210529365.01,557503104.03,-931815913.58,2206093733.88,445068457.42,-408065526.77,2196256911.11
A1,A2,A3,B1,B2,B3,C1,C2,C3
678997161.31,-843000988.38,2221638363.67,558668163.86,-930102324.07,2217274708.25,452672919.32,-424336367.72,2207886938.08
A1,A2,A3,B1,B2,B3,C1,C2,C3
677782691.87,-839998480.76,2232730673.82,560675219.63,-927415388.00,2228509044.11,460526824.42,-441266250.28,2219560292.06
A1,A2,A3,B1,B2,B3,C1,C2,C3
675478012.00,-837348524.95,2243805582.84,563531649.89,-923712978.37,2239796658.93,468641910.14,-458885502.66,2231277768.23
A1,A2,A3,B1,B2,B3,C1,C2,C3
672048849.86,-835074048.56,2254861830.00,567258356.14,-918936949.49,2251137901.26,477031546.83,-477229342.98,2243040278.74
A1,A2,A3,B1,B2,B3,C1,C2,C3
667443019.57,-833213241.59,2265897526.76,571892185.42,-913007759.24,2262533604.13,485711073.32,-496339123.32,2254848879.11
A1,A2,A3,B1,B2,B3,C1,C2,C3
661585073.94,-831827423.40,2276910000.93,577490846.21,-905814901.68,2273985206.10,494698228.34,-516264030.31,2266704802.97
A1,A2,A3,B1,B2,B3,C1,C2,C3
654366302.79,-831016885.80,2287895515.82,584142350.86,-897198684.15,2285494985.33,504013709.71,-537063464.74,2278609508.85
A1,A2,A3,B1,B2,B3,C1,C2,C3
645624990.70,-830956727.06,2298848759.36,591984028.40,-886910981.59,2297066506.48,513681903.80,-558810453.47,2290564744.16
A1,A2,A3,B1,B2,B3,C1,C2,C3
635102991.78,-831995907.09,2309761912.93,601244990.48,-874511179.87,2308705462.90,523731844.87,-581596650.64,2302572634.16
A1,A2,A3,B1,B2,B3,C1,C2,C3
622346523.24,-835063992.04,2320624241.60,612344030.25,-858952039.30,2320419959.64,534198522.56,-605539729.86,2314635808.76
A1,A2,A3,B1,B2,B3,C1,C2,C3
609181000.96,-844063619.27,2331551664.72,623412429.86,-836176954.31,2332090743.28,545125238.83,-630793659.30,2326757602.00
A1,A2,A3,B1,B2,B3,C1,C2,C3
603145685.43,-852548838.12,2342808179.44,626847462.51,-812427993.26,2343449137.41,556575459.99,-657562321.27,2338942693.15
A1,A2,A3,B1,B2,B3,C1,C2,C3
599106347.73,-856928559.75,2354138043.09,627660838.38,-791001786.84,2354742795.02,568671704.79,-686140173.93,2351199171.89
A1,A2,A3,B1,B2,B3,C1,C2,C3
595877664.08,-858119802.35,2365498832.36,626753016.52,-770495515.64,2365997222.86,581698837.96,-717013018.48,2363543954.78
A1,A2,A3,B1,B2,B3,C1,C2,C3
