Minor_dist,Minor_link,Minor_points
21.92,12,({256.5, 260.5, 0}{241, 276, 0})
25.74,3,({256.5, 260.5, 0}{280, 250, 0})
34,8,({256.5, 260.5, 0}{224, 250.5, 0})
41.61,10,({256.5, 260.5, 0}{217.5, 246, 0})
50.56,14,({256.5, 260.5, 0}{206, 263, 0})
3.91,9,({256.5, 149.5, 0}{253.5, 147, 0})
21.1,4,({256.5, 149.5, 0}{273.5, 162, 0})
26.63,5,({256.5, 149.5, 0}{236, 166.5, 0})
34.59,1,({256.5, 149.5, 0}{254, 184, 0})
35.13,0,({256.5, 149.5, 0}{253.5, 184.5, 0})
7.91,10,({224, 250.5, 0}{217.5, 246, 0})
21.91,14,({224, 250.5, 0}{206, 263, 0})
22.2,16,({224, 250.5, 0}{206, 263.5, 0})
23.51,17,({224, 250.5, 0}{203.5, 262, 0})
30.65,12,({224, 250.5, 0}{241, 276, 0})
3.91,7,({253.5, 147, 0}{256.5, 149.5, 0})
25,4,({253.5, 147, 0}{273.5, 162, 0})
26.2,5,({253.5, 147, 0}{236, 166.5, 0})
35.5,13,({253.5, 147, 0}{218, 146.5, 0})
37,1,({253.5, 147, 0}{254, 184, 0})
7.91,8,({217.5, 246, 0}{224, 250.5, 0})
20.52,14,({217.5, 246, 0}{206, 263, 0})
20.94,16,({217.5, 246, 0}{206, 263.5, 0})
21.26,17,({217.5, 246, 0}{203.5, 262, 0})
38.11,12,({217.5, 246, 0}{241, 276, 0})
18.93,15,({314.5, 261.5, 0}{333, 257.5, 0})
36.37,3,({314.5, 261.5, 0}{280, 250, 0})
58.01,6,({314.5, 261.5, 0}{256.5, 260.5, 0})
74.92,12,({314.5, 261.5, 0}{241, 276, 0})
84.97,2,({314.5, 261.5, 0}{284.5, 182, 0})
21.92,6,({241, 276, 0}{256.5, 260.5, 0})
30.65,8,({241, 276, 0}{224, 250.5, 0})
37.17,16,({241, 276, 0}{206, 263.5, 0})
37.34,14,({241, 276, 0}{206, 263, 0})
38.11,10,({241, 276, 0}{217.5, 246, 0})
26.91,5,({218, 146.5, 0}{236, 166.5, 0})
35.5,9,({218, 146.5, 0}{253.5, 147, 0})
38.62,7,({218, 146.5, 0}{256.5, 149.5, 0})
51.98,1,({218, 146.5, 0}{254, 184, 0})
52,0,({218, 146.5, 0}{253.5, 184.5, 0})
0.5,16,({206, 263, 0}{206, 263.5, 0})
2.69,17,({206, 263, 0}{203.5, 262, 0})
20.52,10,({206, 263, 0}{217.5, 246, 0})
21.91,8,({206, 263, 0}{224, 250.5, 0})
37.34,12,({206, 263, 0}{241, 276, 0})
18.93,11,({333, 257.5, 0}{314.5, 261.5, 0})
53.53,3,({333, 257.5, 0}{280, 250, 0})
76.56,6,({333, 257.5, 0}{256.5, 260.5, 0})
89.74,2,({333, 257.5, 0}{284.5, 182, 0})
93.84,12,({333, 257.5, 0}{241, 276, 0})
0.5,14,({206, 263.5, 0}{206, 263, 0})
2.92,17,({206, 263.5, 0}{203.5, 262, 0})
20.94,10,({206, 263.5, 0}{217.5, 246, 0})
22.2,8,({206, 263.5, 0}{224, 250.5, 0})
37.17,12,({206, 263.5, 0}{241, 276, 0})
2.69,14,({203.5, 262, 0}{206, 263, 0})
2.92,16,({203.5, 262, 0}{206, 263.5, 0})
21.26,10,({203.5, 262, 0}{217.5, 246, 0})
23.51,8,({203.5, 262, 0}{224, 250.5, 0})
40.03,12,({203.5, 262, 0}{241, 276, 0})
9.71,2,({328, 234.5, 0}{336, 240, 0})
38.35,1,({328, 234.5, 0}{342.5, 199, 0})
49.24,4,({328, 234.5, 0}{371, 258.5, 0})
57.24,3,({328, 234.5, 0}{345.5, 180, 0})
82.13,6,({328, 234.5, 0}{267, 289.5, 0})
19.24,3,({342.5, 199, 0}{345.5, 180, 0})
38.35,0,({342.5, 199, 0}{328, 234.5, 0})
41.51,2,({342.5, 199, 0}{336, 240, 0})
65.97,4,({342.5, 199, 0}{371, 258.5, 0})
117.86,6,({342.5, 199, 0}{267, 289.5, 0})
9.71,0,({336, 240, 0}{328, 234.5, 0})
39.59,4,({336, 240, 0}{371, 258.5, 0})
41.51,1,({336, 240, 0}{342.5, 199, 0})
60.75,3,({336, 240, 0}{345.5, 180, 0})
84.92,6,({336, 240, 0}{267, 289.5, 0})
19.24,1,({345.5, 180, 0}{342.5, 199, 0})
57.24,0,({345.5, 180, 0}{328, 234.5, 0})
60.75,2,({345.5, 180, 0}{336, 240, 0})
82.54,4,({345.5, 180, 0}{371, 258.5, 0})
130.92,5,({345.5, 180, 0}{221.5, 222, 0})
39.59,2,({371, 258.5, 0}{336, 240, 0})
49.24,0,({371, 258.5, 0}{328, 234.5, 0})
65.97,1,({371, 258.5, 0}{342.5, 199, 0})
82.54,3,({371, 258.5, 0}{345.5, 180, 0})
108.52,6,({371, 258.5, 0}{267, 289.5, 0})
81.4,6,({221.5, 222, 0}{267, 289.5, 0})
107.23,0,({221.5, 222, 0}{328, 234.5, 0})
115.91,2,({221.5, 222, 0}{336, 240, 0})
123.17,1,({221.5, 222, 0}{342.5, 199, 0})
130.92,3,({221.5, 222, 0}{345.5, 180, 0})
81.4,5,({267, 289.5, 0}{221.5, 222, 0})
82.13,0,({267, 289.5, 0}{328, 234.5, 0})
84.92,2,({267, 289.5, 0}{336, 240, 0})
108.52,4,({267, 289.5, 0}{371, 258.5, 0})
117.86,1,({267, 289.5, 0}{342.5, 199, 0})
34.3,4,({245.5, 248.5, 0}{221, 224.5, 0})
45.34,1,({245.5, 248.5, 0}{275.5, 282.5, 0})
46.32,5,({245.5, 248.5, 0}{213, 215.5, 0})
68.68,3,({245.5, 248.5, 0}{240.5, 180, 0})
93.01,2,({245.5, 248.5, 0}{272.5, 159.5, 0})
45.34,0,({275.5, 282.5, 0}{245.5, 248.5, 0})
79.59,4,({275.5, 282.5, 0}{221, 224.5, 0})
91.63,5,({275.5, 282.5, 0}{213, 215.5, 0})
97.62,7,({275.5, 282.5, 0}{370, 258, 0})
97.62,6,({275.5, 282.5, 0}{370, 258, 0})
38,3,({272.5, 159.5, 0}{240.5, 180, 0})
81.71,5,({272.5, 159.5, 0}{213, 215.5, 0})
82.93,4,({272.5, 159.5, 0}{221, 224.5, 0})
93.01,0,({272.5, 159.5, 0}{245.5, 248.5, 0})
123.04,1,({272.5, 159.5, 0}{275.5, 282.5, 0})
38,2,({240.5, 180, 0}{272.5, 159.5, 0})
44.91,5,({240.5, 180, 0}{213, 215.5, 0})
48.58,4,({240.5, 180, 0}{221, 224.5, 0})
68.68,0,({240.5, 180, 0}{245.5, 248.5, 0})
108.31,1,({240.5, 180, 0}{275.5, 282.5, 0})
12.04,5,({221, 224.5, 0}{213, 215.5, 0})
34.3,0,({221, 224.5, 0}{245.5, 248.5, 0})
48.58,3,({221, 224.5, 0}{240.5, 180, 0})
79.59,1,({221, 224.5, 0}{275.5, 282.5, 0})
82.93,2,({221, 224.5, 0}{272.5, 159.5, 0})
12.04,4,({213, 215.5, 0}{221, 224.5, 0})
44.91,3,({213, 215.5, 0}{240.5, 180, 0})
46.32,0,({213, 215.5, 0}{245.5, 248.5, 0})
81.71,2,({213, 215.5, 0}{272.5, 159.5, 0})
91.63,1,({213, 215.5, 0}{275.5, 282.5, 0})
0,7,({370, 258, 0}{370, 258, 0})
97.62,1,({370, 258, 0}{275.5, 282.5, 0})
124.86,0,({370, 258, 0}{245.5, 248.5, 0})
138.59,2,({370, 258, 0}{272.5, 159.5, 0})
151.18,3,({370, 258, 0}{240.5, 180, 0})
0,6,({370, 258, 0}{370, 258, 0})
97.62,1,({370, 258, 0}{275.5, 282.5, 0})
124.86,0,({370, 258, 0}{245.5, 248.5, 0})
138.59,2,({370, 258, 0}{272.5, 159.5, 0})
151.18,3,({370, 258, 0}{240.5, 180, 0})
27.97,1,({280, 234, 0}{305.5, 222.5, 0})
30.41,2,({280, 234, 0}{285, 264, 0})
37.14,3,({280, 234, 0}{254.5, 261, 0})
40.7,5,({280, 234, 0}{255.5, 266.5, 0})
41.01,4,({280, 234, 0}{309, 205, 0})
17.85,4,({305.5, 222.5, 0}{309, 205, 0})
17.92,7,({305.5, 222.5, 0}{312.5, 206, 0})
27.97,0,({305.5, 222.5, 0}{280, 234, 0})
46.29,2,({305.5, 222.5, 0}{285, 264, 0})
63.9,3,({305.5, 222.5, 0}{254.5, 261, 0})
29.61,5,({285, 264, 0}{255.5, 266.5, 0})
30.41,0,({285, 264, 0}{280, 234, 0})
30.65,3,({285, 264, 0}{254.5, 261, 0})
37.62,6,({285, 264, 0}{247.5, 261, 0})
46.29,1,({285, 264, 0}{305.5, 222.5, 0})
5.59,5,({254.5, 261, 0}{255.5, 266.5, 0})
7,6,({254.5, 261, 0}{247.5, 261, 0})
30.65,2,({254.5, 261, 0}{285, 264, 0})
37.14,0,({254.5, 261, 0}{280, 234, 0})
63.9,1,({254.5, 261, 0}{305.5, 222.5, 0})
3.64,7,({309, 205, 0}{312.5, 206, 0})
17.85,1,({309, 205, 0}{305.5, 222.5, 0})
41.01,0,({309, 205, 0}{280, 234, 0})
63.69,2,({309, 205, 0}{285, 264, 0})
78.14,3,({309, 205, 0}{254.5, 261, 0})
5.59,3,({255.5, 266.5, 0}{254.5, 261, 0})
9.71,6,({255.5, 266.5, 0}{247.5, 261, 0})
29.61,2,({255.5, 266.5, 0}{285, 264, 0})
40.7,0,({255.5, 266.5, 0}{280, 234, 0})
66.6,1,({255.5, 266.5, 0}{305.5, 222.5, 0})
7,3,({247.5, 261, 0}{254.5, 261, 0})
9.71,5,({247.5, 261, 0}{255.5, 266.5, 0})
37.62,2,({247.5, 261, 0}{285, 264, 0})
42.25,0,({247.5, 261, 0}{280, 234, 0})
69.62,1,({247.5, 261, 0}{305.5, 222.5, 0})
3.64,4,({312.5, 206, 0}{309, 205, 0})
17.92,1,({312.5, 206, 0}{305.5, 222.5, 0})
42.9,0,({312.5, 206, 0}{280, 234, 0})
64.19,2,({312.5, 206, 0}{285, 264, 0})
79.93,3,({312.5, 206, 0}{254.5, 261, 0})
8.63,1,({281, 259, 0}{282.5, 267.5, 0})
24.42,2,({281, 259, 0}{285.5, 283, 0})
54.6,3,({281, 259, 0}{296, 311.5, 0})
75.4,4,({281, 259, 0}{236, 198.5, 0})
77.01,5,({281, 259, 0}{234, 198, 0})
8.63,0,({282.5, 267.5, 0}{281, 259, 0})
15.79,2,({282.5, 267.5, 0}{285.5, 283, 0})
46.02,3,({282.5, 267.5, 0}{296, 311.5, 0})
83.21,4,({282.5, 267.5, 0}{236, 198.5, 0})
84.75,5,({282.5, 267.5, 0}{234, 198, 0})
15.79,1,({285.5, 283, 0}{282.5, 267.5, 0})
24.42,0,({285.5, 283, 0}{281, 259, 0})
30.37,3,({285.5, 283, 0}{296, 311.5, 0})
97.93,4,({285.5, 283, 0}{236, 198.5, 0})
99.38,5,({285.5, 283, 0}{234, 198, 0})
30.37,2,({296, 311.5, 0}{285.5, 283, 0})
46.02,1,({296, 311.5, 0}{282.5, 267.5, 0})
54.6,0,({296, 311.5, 0}{281, 259, 0})
127.94,4,({296, 311.5, 0}{236, 198.5, 0})
129.33,5,({296, 311.5, 0}{234, 198, 0})
2.06,5,({236, 198.5, 0}{234, 198, 0})
75.4,0,({236, 198.5, 0}{281, 259, 0})
83.21,1,({236, 198.5, 0}{282.5, 267.5, 0})
97.93,2,({236, 198.5, 0}{285.5, 283, 0})
127.94,3,({236, 198.5, 0}{296, 311.5, 0})
2.06,4,({234, 198, 0}{236, 198.5, 0})
77.01,0,({234, 198, 0}{281, 259, 0})
84.75,1,({234, 198, 0}{282.5, 267.5, 0})
99.38,2,({234, 198, 0}{285.5, 283, 0})
129.33,3,({234, 198, 0}{296, 311.5, 0})
14.84,1,({294.5, 251, 0}{286.5, 263.5, 0})
19.78,2,({294.5, 251, 0}{289, 270, 0})
39.22,3,({294.5, 251, 0}{333, 243.5, 0})
70.37,4,({294.5, 251, 0}{343.5, 200.5, 0})
75.53,5,({294.5, 251, 0}{296.5, 326.5, 0})
6.96,2,({286.5, 263.5, 0}{289, 270, 0})
14.84,0,({286.5, 263.5, 0}{294.5, 251, 0})
50.62,3,({286.5, 263.5, 0}{333, 243.5, 0})
63.79,5,({286.5, 263.5, 0}{296.5, 326.5, 0})
84.96,4,({286.5, 263.5, 0}{343.5, 200.5, 0})
6.96,1,({289, 270, 0}{286.5, 263.5, 0})
19.78,0,({289, 270, 0}{294.5, 251, 0})
51.36,3,({289, 270, 0}{333, 243.5, 0})
57,5,({289, 270, 0}{296.5, 326.5, 0})
88.32,4,({289, 270, 0}{343.5, 200.5, 0})
39.22,0,({333, 243.5, 0}{294.5, 251, 0})
44.26,4,({333, 243.5, 0}{343.5, 200.5, 0})
50.62,1,({333, 243.5, 0}{286.5, 263.5, 0})
51.36,2,({333, 243.5, 0}{289, 270, 0})
90.67,5,({333, 243.5, 0}{296.5, 326.5, 0})
44.26,3,({343.5, 200.5, 0}{333, 243.5, 0})
70.37,0,({343.5, 200.5, 0}{294.5, 251, 0})
84.96,1,({343.5, 200.5, 0}{286.5, 263.5, 0})
88.32,2,({343.5, 200.5, 0}{289, 270, 0})
134.48,5,({343.5, 200.5, 0}{296.5, 326.5, 0})
57,2,({296.5, 326.5, 0}{289, 270, 0})
63.79,1,({296.5, 326.5, 0}{286.5, 263.5, 0})
75.53,0,({296.5, 326.5, 0}{294.5, 251, 0})
90.67,3,({296.5, 326.5, 0}{333, 243.5, 0})
134.48,4,({296.5, 326.5, 0}{343.5, 200.5, 0})
57.98,1,({279, 220.5, 0}{332, 244, 0})
59.5,2,({279, 220.5, 0}{219.5, 220.5, 0})
77.01,4,({279, 220.5, 0}{248, 150, 0})
106.48,3,({279, 220.5, 0}{375.5, 265.5, 0})
112.42,5,({279, 220.5, 0}{386, 186, 0})
48.52,3,({332, 244, 0}{375.5, 265.5, 0})
57.98,0,({332, 244, 0}{279, 220.5, 0})
79.25,5,({332, 244, 0}{386, 186, 0})
114.93,2,({332, 244, 0}{219.5, 220.5, 0})
126.06,4,({332, 244, 0}{248, 150, 0})
59.5,0,({219.5, 220.5, 0}{279, 220.5, 0})
76.04,4,({219.5, 220.5, 0}{248, 150, 0})
114.93,1,({219.5, 220.5, 0}{332, 244, 0})
162.36,3,({219.5, 220.5, 0}{375.5, 265.5, 0})
170.04,5,({219.5, 220.5, 0}{386, 186, 0})
48.52,1,({375.5, 265.5, 0}{332, 244, 0})
80.19,5,({375.5, 265.5, 0}{386, 186, 0})
106.48,0,({375.5, 265.5, 0}{279, 220.5, 0})
162.36,2,({375.5, 265.5, 0}{219.5, 220.5, 0})
172.04,4,({375.5, 265.5, 0}{248, 150, 0})
76.04,2,({248, 150, 0}{219.5, 220.5, 0})
77.01,0,({248, 150, 0}{279, 220.5, 0})
