Year,mesh 1 face centerpoint,mesh 1 color code,mesh 1 normal,Mesh 1 face centerpoint to Mesh 1 face n+1 centerpoint distance,Mesh 1 face centerpoint vector to Mesh 1 face n+1 centerpoint vector angle
2015,"(18.08, 7.88, 8.62)","(243,57,0)","(-0.06, 0.8, -0.6)",2.05,0.57
2015,"(11.15, 5.51, 6.2)","(243,57,0)","(0.07, -0.8, 0.59)",7.71,3.81
2015,"(16.47, 7.04, 7.67)","(243,57,0)","(0.02, -0.76, 0.65)",11.2,2.34
2015,"(6.83, 3.16, 3.5)","(243,57,0)","(-0.06, 0.8, -0.6)",3.03,3.91
2015,"(3.88, 2.12, 2.44)","(243,57,0)","(-0.08, 0.81, -0.58)",0.22,0.57
2015,"(4.15, 2.18, 2.48)","(243,57,0)","(-0.06, 0.8, -0.6)",0.28,1.31
2015,"(3.36, 1.51, 1.67)","(243,57,0)","(0.08, -0.81, 0.58)",0.36,1.96
2015,"(3.55, 1.7, 1.91)","(243,57,0)","(0.07, -0.8, 0.6)",0.39,1.44
2015,"(4.08, 2.19, 2.51)","(243,57,0)","(0.07, -0.8, 0.59)",0.47,3.14
2015,"(3.95, 1.92, 2.15)","(243,57,0)","(-0.07, 0.8, -0.59)",0.86,2.3
2015,"(3.78, 1.9, 2.15)","(243,57,0)","(0.06, -0.8, 0.59)",0.19,0.67
2015,"(3.89, 2, 2.27)","(243,57,0)","(0.01, -0.78, 0.62)",0.08,0.89
2015,"(3.71, 2.04, 2.35)","(243,57,0)","(-0.06, 0.8, -0.6)",0.92,0.78
2015,"(3.84, 2.03, 2.32)","(243,56,2)","(-0.08, 0.81, -0.58)",0.13,1.24
2015,"(0.29, 0.15, 0.17)","(243,57,0)","(0.25, -0.84, 0.49)",2.41,5.01
2015,"(0.22, 0.11, 0.12)","(243,57,0)","(0, -0.71, 0.71)",0.09,1.65
2015,"(0.5, 0.27, 0.31)","(243,57,0)","(-0.05, 0.79, -0.61)",0.37,3.06
2015,"(0.84, 0.42, 0.47)","(243,57,0)","(-0.24, 0.74, -0.63)",0.4,2.58
2015,"(0.75, 0.35, 0.39)","(243,57,0)","(0.05, -0.78, 0.63)",0.14,1.94
2015,"(5.64, 3.24, 3.75)","(243,57,0)","(-0.08, 0.81, -0.58)",6.6,6.4
2015,"(7.46, 4.28, 4.94)","(243,57,0)","(-0.02, 0.77, -0.64)",2.41,0.1
2015,"(5.06, 2.88, 3.33)","(243,57,0)","(0.06, -0.8, 0.6)",3.21,0.2
2015,"(2.56, 1.46, 1.68)","(243,57,0)","(0.59, -0.79, -0.14)",3.31,0.09
2015,"(2.98, 1.74, 2.02)","(243,57,0)","(-0.12, 0.83, -0.55)",0.61,0.83
2015,"(1.89, 1.09, 1.27)","(243,57,0)","(0.02, -0.77, 0.64)",1.47,0.3
2015,"(0.58, 0.25, 0.28)","(243,57,0)","(-0.5, 0.48, 0.72)",1.84,8.64
2015,"(11.28, 6.18, 7.09)","(243,57,0)","(-0.07, 0.8, -0.59)",1.12,3.19
2015,"(13.09, 7.31, 8.41)","(243,57,0)","(0.04, -0.79, 0.62)",2.51,0.59
2015,"(1.02, 0.58, 0.67)","(243,57,0)","(0.08, -0.81, 0.58)",1.01,1.87
2015,"(2.67, 1.25, 1.39)","(243,57,0)","(-0.06, 0.8, -0.6)",1.92,6.02
2015,"(14.55, 8.13, 9.35)","(243,57,0)","(-0.07, 0.8, -0.59)",15.87,5.45
2015,"(17.51, 9.96, 11.5)","(243,57,0)","(-0.07, 0.8, -0.59)",4.09,0.57
2015,"(12.38, 6.99, 8.06)","(243,57,0)","(0.07, -0.8, 0.59)",6.85,0.23
2015,"(2.67, 1.28, 1.43)","(243,57,0)","(-0.07, 0.8, -0.59)",13.07,5.08
2015,"(3.16, 1.64, 1.86)","(243,57,0)","(0.07, -0.8, 0.59)",0.74,2.43
2015,"(2.74, 1.45, 1.66)","(243,57,0)","(0.09, -0.81, 0.58)",0.5,0.71
2015,"(2.72, 1.46, 1.68)","(243,57,0)","(-0.11, 0.82, -0.56)",0.03,0.49
2015,"(1.91, 0.98, 1.11)","(243,57,0)","(0.07, -0.8, 0.59)",1.1,1.53
2015,"(0.68, 0.3, 0.33)","(243,57,0)","(0.04, -0.77, 0.64)",1.61,4.55
2015,"(0.9, 0.45, 0.51)","(243,57,0)","(-0.06, 0.8, -0.6)",0.32,3.85
2015,"(15.09, 8.78, 10.18)","(243,57,0)","(-0.06, 0.8, -0.6)",19.09,4.64
2015,"(19.21, 11.23, 13.02)","(243,57,0)","(0.07, -0.8, 0.59)",5.57,0.13
2015,"(29.14, 16.55, 19.1)","(243,57,0)","(-0.07, 0.8, -0.59)",6.23,0.23
2015,"(16.98, 9.35, 10.73)","(243,57,0)","(0.07, -0.8, 0.59)",16.42,0.97
2015,"(1.18, 0.52, 0.58)","(243,57,0)","(-0.05, 0.78, -0.62)",0.51,0.79
2015,"(1.59, 0.78, 0.87)","(243,57,0)","(-0.07, 0.8, -0.6)",0.57,2.88
2015,"(2.26, 1.18, 1.35)","(243,57,0)","(0.06, -0.8, 0.6)",0.6,0.75
2015,"(2.76, 1.41, 1.6)","(243,57,0)","(-0.07, 0.8, -0.59)",0.45,0.83
2015,"(0.76, 0.33, 0.36)","(243,57,0)","(-0.18, -0.48, 0.86)",0.45,4.93
2015,"(0.36, 0.18, 0.21)","(243,57,0)","(-0.08, 0.82, -0.56)",25.33,4.3
2015,"(2.28, 1.27, 1.47)","(243,57,0)","(-0.06, 0.8, -0.6)",0.16,2.87
2015,"(2.32, 1.18, 1.34)","(243,57,0)","(0.07, -0.8, 0.59)",1.04,1.13
2015,"(3.19, 1.57, 1.76)","(243,57,0)","(0.08, -0.78, 0.62)",0.13,0.29
2015,"(3.28, 1.63, 1.83)","(243,57,0)","(0.08, -0.79, 0.61)",0.76,0.89
2015,"(3.84, 1.96, 2.22)","(243,57,0)","(0.05, -0.8, 0.6)",0.22,2.06
2015,"(3.63, 1.98, 2.27)","(243,57,0)","(-0.07, 0.8, -0.59)",30.19,1.92
2015,"(26.1, 15.14, 17.54)","(243,57,0)","(0.07, -0.8, 0.59)",4.48,0.53
2015,"(29.68, 16.93, 19.55)","(243,57,0)","(0.07, -0.8, 0.59)",8.34,0.13
2015,"(23.44, 13.32, 15.36)","(243,57,0)","(-0.06, 0.8, -0.6)",27.04,3.82
2015,"(3.19, 1.6, 1.81)","(243,57,0)","(-0.07, 0.8, -0.6)",1.38,4.12
2015,"(1.99, 1.14, 1.32)","(243,57,0)","(-0.09, 0.81, -0.57)",0.44,1.29
2015,"(2.36, 1.3, 1.49)","(243,57,0)","(0.08, -0.81, 0.58)",2.42,0.13
2015,"(4.21, 2.33, 2.67)","(243,57,0)","(0.07, -0.8, 0.59)",11.62,1.52
2015,"(12.8, 7.43, 8.6)","(243,57,0)","(0.07, -0.81, 0.59)",4.17,0.11
2015,"(1.83, 0.98, 1.12)","(243,57,0)","(0.07, -0.8, 0.59)",0.26,2.59
2015,"(1.7, 0.84, 0.94)","(243,57,0)","(-0.07, 0.8, -0.59)",1.43,3.65
2015,"(0.94, 0.53, 0.6)","(243,57,0)","(0.34, 0.45, -0.83)",4.92,7.35
2015,"(5.15, 2.26, 2.48)","(243,57,0)","(0.11, -0.84, 0.53)",0.34,1.11
2015,"(4.94, 2.09, 2.27)","(243,57,0)","(-0.02, 0.76, -0.65)",5.06,2.45
2015,"(0.63, 0.29, 0.32)","(243,57,0)","(-0.1, 0.84, -0.54)",1.01,1.26
2015,"(1.44, 0.69, 0.77)","(243,57,0)","(0.07, -0.8, 0.59)",0.13,0.27
2015,"(1.33, 0.64, 0.72)","(243,57,0)","(-0.07, 0.8, -0.59)",1.42,1.8
2015,"(0.18, 0.08, 0.1)","(243,57,0)","(-0.06, 0.79, -0.62)",0.4,1.78
2015,"(0.5, 0.24, 0.27)","(243,57,0)","(0.05, -0.79, 0.62)",1.32,0.88
2015,"(1.59, 0.74, 0.83)","(243,57,0)","(0.06, -0.8, 0.6)",0.45,0.27
2015,"(1.22, 0.57, 0.63)","(243,57,0)","(-0.08, 0.81, -0.58)",1.15,4.46
2015,"(0.26, 0.14, 0.16)","(243,57,0)","(0.09, -0.82, 0.56)",1.1,1.65
2015,"(1.14, 0.58, 0.66)","(243,57,0)","(0.07, -0.8, 0.59)",0.54,1.36
2015,"(3.38, 1.73, 1.97)","(243,57,0)","(-0.07, 0.8, -0.59)",0.28,3.7
2015,"(3.24, 1.87, 2.17)","(243,56,1)","(-0.1, 0.82, -0.56)",0.29,0.49
2015,"(3.08, 1.62, 1.84)","(243,57,0)","(0.07, -0.8, 0.59)",0.45,1.29
2015,"(3.36, 1.84, 2.11)","(243,57,0)","(-0.08, 0.81, -0.58)",1.38,0.65
2015,"(4.99, 2.5, 2.82)","(243,57,0)","(0.07, -0.8, 0.59)",3.05,2.91
2015,"(2.66, 1.21, 1.34)","(243,57,0)","(0, -0.71, 0.7)",8.68,1.62
2015,"(10.02, 4.32, 4.72)","(243,57,0)","(0.06, -0.8, 0.6)",1.17,0.07
2015,"(11, 4.76, 5.19)","(243,57,0)","(-0.05, 0.79, -0.61)",1.97,0.2
2015,"(12.69, 5.45, 5.94)","(243,57,0)","(0.07, -0.8, 0.59)",4.48,0.43
2015,"(16.39, 7.14, 7.81)","(243,57,0)","(0.06, -0.8, 0.6)",9.33,3.81
2015,"(8.21, 4.06, 4.56)","(243,57,0)","(-0.07, 0.8, -0.59)",5.97,5.15
2015,"(3.2, 1.87, 2.16)","(243,57,0)","(-0.41, -0.31, 0.86)",1.77,7.27
2015,"(4.89, 2.25, 2.5)","(243,57,0)","(0.07, -0.81, 0.58)",0.7,0.84
2015,"(5.41, 2.56, 2.86)","(243,57,0)","(-0.07, 0.8, -0.59)",2.18,3.25
2015,"(3.5, 1.84, 2.1)","(243,57,0)","(0.07, -0.8, 0.59)",2.14,4.01
2015,"(5.42, 2.5, 2.78)","(243,57,0)","(0.07, -0.8, 0.59)",3.21,2.14
2015,"(8.25, 3.55, 3.87)","(243,57,0)","(-0.06, 0.8, -0.6)",1.54,0.45
2015,"(6.92, 3.02, 3.31)","(243,57,0)","(0.09, -0.82, 0.56)",4,4.92
2015,"(15.89, 9.26, 10.72)","(243,57,0)","(-0.06, 0.8, -0.6)",5.24,0.13
2015,"(11.96, 6.99, 8.11)","(243,57,0)","(-0.09, 0.82, -0.57)",14.82,1.49
2015,"(3.43, 2.01, 2.34)","(243,57,0)","(0.49, -0.87, 0.03)",5.75,0.13
2015,"(7.72, 4.51, 5.24)","(243,57,0)","(0.14, -0.84, 0.52)",2.4,0.08
2015,"(5.94, 3.46, 4.02)","(243,57,0)","(-0.1, 0.82, -0.56)",7.21,2.44
2015,"(0.58, 0.31, 0.36)","(243,57,0)","(0.04, -0.78, 0.62)",8.52,2.54
2015,"(6.9, 4.04, 4.68)","(243,57,0)","(0.08, -0.81, 0.58)",3.72,0.07
