Major_dist,Major_link,Major_points
10.26,45,({377.5, 162, 0}{370.5, 169.5, 0})
18.87,47,({377.5, 162, 0}{367.5, 146, 0})
39.82,34,({377.5, 162, 0}{342.5, 143, 0})
57.94,9,({377.5, 162, 0}{332.5, 198.5, 0})
59.04,17,({377.5, 162, 0}{336, 204, 0})
0.5,60,({333.5, 107.5, 0}{333.5, 107, 0})
20.51,49,({333.5, 107.5, 0}{313, 107, 0})
28.47,27,({333.5, 107.5, 0}{319, 132, 0})
29.07,46,({333.5, 107.5, 0}{304.5, 109.5, 0})
31.12,40,({333.5, 107.5, 0}{305, 120, 0})
2.06,59,({284, 103.5, 0}{282, 104, 0})
16.51,53,({284, 103.5, 0}{300.5, 104, 0})
18.03,42,({284, 103.5, 0}{294, 118.5, 0})
21.36,46,({284, 103.5, 0}{304.5, 109.5, 0})
21.54,58,({284, 103.5, 0}{264, 111.5, 0})
8.6,52,({264, 111.5, 0}{259, 118.5, 0})
9.86,50,({264, 111.5, 0}{259, 120, 0})
18.06,51,({264, 111.5, 0}{252, 125, 0})
19.5,59,({264, 111.5, 0}{282, 104, 0})
21.54,57,({264, 111.5, 0}{284, 103.5, 0})
2.06,57,({282, 104, 0}{284, 103.5, 0})
18.5,53,({282, 104, 0}{300.5, 104, 0})
18.82,42,({282, 104, 0}{294, 118.5, 0})
19.5,58,({282, 104, 0}{264, 111.5, 0})
23.16,46,({282, 104, 0}{304.5, 109.5, 0})
0.5,56,({333.5, 107, 0}{333.5, 107.5, 0})
20.5,49,({333.5, 107, 0}{313, 107, 0})
28.9,27,({333.5, 107, 0}{319, 132, 0})
29.11,46,({333.5, 107, 0}{304.5, 109.5, 0})
31.32,40,({333.5, 107, 0}{305, 120, 0})
22.21,43,({222.5, 181.5, 0}{241.5, 193, 0})
25.99,36,({222.5, 181.5, 0}{248, 176.5, 0})
30.02,29,({222.5, 181.5, 0}{252.5, 182.5, 0})
30.54,63,({222.5, 181.5, 0}{224, 212, 0})
31.1,39,({222.5, 181.5, 0}{247.5, 163, 0})
18.03,63,({234, 227, 0}{224, 212, 0})
34.82,43,({234, 227, 0}{241.5, 193, 0})
46.93,61,({234, 227, 0}{222.5, 181.5, 0})
47.85,24,({234, 227, 0}{255, 184, 0})
48.19,29,({234, 227, 0}{252.5, 182.5, 0})
18.03,62,({224, 212, 0}{234, 227, 0})
25.83,43,({224, 212, 0}{241.5, 193, 0})
30.54,61,({224, 212, 0}{222.5, 181.5, 0})
41.02,29,({224, 212, 0}{252.5, 182.5, 0})
41.77,24,({224, 212, 0}{255, 184, 0})
10.97,1,({301, 182.5, 0}{305.5, 192.5, 0})
15.52,3,({301, 182.5, 0}{297, 167.5, 0})
15.52,2,({301, 182.5, 0}{297, 167.5, 0})
27.06,13,({301, 182.5, 0}{277, 170, 0})
27.93,9,({301, 182.5, 0}{320.5, 162.5, 0})
10.97,0,({305.5, 192.5, 0}{301, 182.5, 0})
18.17,5,({305.5, 192.5, 0}{308, 210.5, 0})
18.17,4,({305.5, 192.5, 0}{308, 210.5, 0})
20.62,6,({305.5, 192.5, 0}{318.5, 208.5, 0})
20.93,7,({305.5, 192.5, 0}{319, 208.5, 0})
0,3,({297, 167.5, 0}{297, 167.5, 0})
15.52,0,({297, 167.5, 0}{301, 182.5, 0})
18.12,11,({297, 167.5, 0}{311, 156, 0})
18.51,12,({297, 167.5, 0}{311.5, 156, 0})
19.01,20,({297, 167.5, 0}{297.5, 148.5, 0})
0,2,({297, 167.5, 0}{297, 167.5, 0})
15.52,0,({297, 167.5, 0}{301, 182.5, 0})
18.12,11,({297, 167.5, 0}{311, 156, 0})
18.51,12,({297, 167.5, 0}{311.5, 156, 0})
19.01,20,({297, 167.5, 0}{297.5, 148.5, 0})
0,5,({308, 210.5, 0}{308, 210.5, 0})
10.69,6,({308, 210.5, 0}{318.5, 208.5, 0})
11.18,7,({308, 210.5, 0}{319, 208.5, 0})
18.17,1,({308, 210.5, 0}{305.5, 192.5, 0})
22.19,8,({308, 210.5, 0}{328.5, 202, 0})
0,4,({308, 210.5, 0}{308, 210.5, 0})
10.69,6,({308, 210.5, 0}{318.5, 208.5, 0})
11.18,7,({308, 210.5, 0}{319, 208.5, 0})
18.17,1,({308, 210.5, 0}{305.5, 192.5, 0})
22.19,8,({308, 210.5, 0}{328.5, 202, 0})
0.5,7,({318.5, 208.5, 0}{319, 208.5, 0})
10.69,5,({318.5, 208.5, 0}{308, 210.5, 0})
10.69,4,({318.5, 208.5, 0}{308, 210.5, 0})
11.93,8,({318.5, 208.5, 0}{328.5, 202, 0})
20.62,1,({318.5, 208.5, 0}{305.5, 192.5, 0})
0.5,6,({319, 208.5, 0}{318.5, 208.5, 0})
11.18,5,({319, 208.5, 0}{308, 210.5, 0})
11.18,4,({319, 208.5, 0}{308, 210.5, 0})
11.51,8,({319, 208.5, 0}{328.5, 202, 0})
20.93,1,({319, 208.5, 0}{305.5, 192.5, 0})
11.34,15,({328.5, 202, 0}{336, 193.5, 0})
11.51,7,({328.5, 202, 0}{319, 208.5, 0})
11.93,6,({328.5, 202, 0}{318.5, 208.5, 0})
22.19,5,({328.5, 202, 0}{308, 210.5, 0})
22.19,4,({328.5, 202, 0}{308, 210.5, 0})
0.5,10,({320.5, 162.5, 0}{321, 162.5, 0})
8.63,16,({320.5, 162.5, 0}{329, 164, 0})
11.1,12,({320.5, 162.5, 0}{311.5, 156, 0})
11.51,11,({320.5, 162.5, 0}{311, 156, 0})
13.45,17,({320.5, 162.5, 0}{311.5, 152.5, 0})
0.5,9,({321, 162.5, 0}{320.5, 162.5, 0})
8.14,16,({321, 162.5, 0}{329, 164, 0})
11.51,12,({321, 162.5, 0}{311.5, 156, 0})
11.93,11,({321, 162.5, 0}{311, 156, 0})
13.79,17,({321, 162.5, 0}{311.5, 152.5, 0})
0.5,12,({311, 156, 0}{311.5, 156, 0})
3.54,17,({311, 156, 0}{311.5, 152.5, 0})
5.1,18,({311, 156, 0}{310, 151, 0})
7.57,19,({311, 156, 0}{310, 148.5, 0})
9.01,21,({311, 156, 0}{310.5, 147, 0})
0.5,11,({311.5, 156, 0}{311, 156, 0})
3.5,17,({311.5, 156, 0}{311.5, 152.5, 0})
5.22,18,({311.5, 156, 0}{310, 151, 0})
7.65,19,({311.5, 156, 0}{310, 148.5, 0})
9.06,21,({311.5, 156, 0}{310.5, 147, 0})
2,14,({277, 170, 0}{277, 168, 0})
20.16,3,({277, 170, 0}{297, 167.5, 0})
20.16,2,({277, 170, 0}{297, 167.5, 0})
20.52,30,({277, 170, 0}{265.5, 153, 0})
21.36,23,({277, 170, 0}{284.5, 150, 0})
2,13,({277, 168, 0}{277, 170, 0})
18.9,30,({277, 168, 0}{265.5, 153, 0})
19.5,23,({277, 168, 0}{284.5, 150, 0})
20.01,3,({277, 168, 0}{297, 167.5, 0})
20.01,2,({277, 168, 0}{297, 167.5, 0})
11.34,8,({336, 193.5, 0}{328.5, 202, 0})
22.67,7,({336, 193.5, 0}{319, 208.5, 0})
23.05,6,({336, 193.5, 0}{318.5, 208.5, 0})
24.51,31,({336, 193.5, 0}{360.5, 193, 0})
30.32,16,({336, 193.5, 0}{329, 164, 0})
8.14,10,({329, 164, 0}{321, 162.5, 0})
8.63,9,({329, 164, 0}{320.5, 162.5, 0})
19.24,12,({329, 164, 0}{311.5, 156, 0})
19.7,11,({329, 164, 0}{311, 156, 0})
20.94,17,({329, 164, 0}{311.5, 152.5, 0})
2.12,18,({311.5, 152.5, 0}{310, 151, 0})
3.5,12,({311.5, 152.5, 0}{311.5, 156, 0})
3.54,11,({311.5, 152.5, 0}{311, 156, 0})
4.27,19,({311.5, 152.5, 0}{310, 148.5, 0})
5.59,21,({311.5, 152.5, 0}{310.5, 147, 0})
2.12,17,({310, 151, 0}{311.5, 152.5, 0})
2.5,19,({310, 151, 0}{310, 148.5, 0})
4.03,21,({310, 151, 0}{310.5, 147, 0})
5.1,11,({310, 151, 0}{311, 156, 0})
5.22,12,({310, 151, 0}{311.5, 156, 0})
1.58,21,({310, 148.5, 0}{310.5, 147, 0})
2.5,18,({310, 148.5, 0}{310, 151, 0})
4.27,17,({310, 148.5, 0}{311.5, 152.5, 0})
7.57,11,({310, 148.5, 0}{311, 156, 0})
7.65,12,({310, 148.5, 0}{311.5, 156, 0})
4.03,25,({297.5, 148.5, 0}{298, 144.5, 0})
9.18,29,({297.5, 148.5, 0}{293, 140.5, 0})
12.5,19,({297.5, 148.5, 0}{310, 148.5, 0})
12.66,26,({297.5, 148.5, 0}{285, 146.5, 0})
12.75,18,({297.5, 148.5, 0}{310, 151, 0})
1.58,19,({310.5, 147, 0}{310, 148.5, 0})
4.03,18,({310.5, 147, 0}{310, 151, 0})
5.59,17,({310.5, 147, 0}{311.5, 152.5, 0})
9.01,11,({310.5, 147, 0}{311, 156, 0})
9.06,12,({310.5, 147, 0}{311.5, 156, 0})
3.2,24,({267, 202.5, 0}{264.5, 200.5, 0})
34,13,({267, 202.5, 0}{277, 170, 0})
35.92,14,({267, 202.5, 0}{277, 168, 0})
39.26,28,({267, 202.5, 0}{294, 231, 0})
39.26,27,({267, 202.5, 0}{294, 231, 0})
3.54,26,({284.5, 150, 0}{285, 146.5, 0})
12.75,29,({284.5, 150, 0}{293, 140.5, 0})
13.09,20,({284.5, 150, 0}{297.5, 148.5, 0})
14.58,25,({284.5, 150, 0}{298, 144.5, 0})
18.85,33,({284.5, 150, 0}{277.5, 132.5, 0})
3.2,22,({264.5, 200.5, 0}{267, 202.5, 0})
32.96,13,({264.5, 200.5, 0}{277, 170, 0})
34.82,14,({264.5, 200.5, 0}{277, 168, 0})
40.7,0,({264.5, 200.5, 0}{301, 182.5, 0})
41.77,1,({264.5, 200.5, 0}{305.5, 192.5, 0})
4.03,20,({298, 144.5, 0}{297.5, 148.5, 0})
6.4,29,({298, 144.5, 0}{293, 140.5, 0})
12.65,19,({298, 144.5, 0}{310, 148.5, 0})
12.75,21,({298, 144.5, 0}{310.5, 147, 0})
13.15,26,({298, 144.5, 0}{285, 146.5, 0})
3.54,23,({285, 146.5, 0}{284.5, 150, 0})
10,29,({285, 146.5, 0}{293, 140.5, 0})
12.66,20,({285, 146.5, 0}{297.5, 148.5, 0})
13.15,25,({285, 146.5, 0}{298, 144.5, 0})
15.88,33,({285, 146.5, 0}{277.5, 132.5, 0})
0,28,({294, 231, 0}{294, 231, 0})
24.82,5,({294, 231, 0}{308, 210.5, 0})
24.82,4,({294, 231, 0}{308, 210.5, 0})
33.26,6,({294, 231, 0}{318.5, 208.5, 0})
33.63,7,({294, 231, 0}{319, 208.5, 0})
0,27,({294, 231, 0}{294, 231, 0})
24.82,5,({294, 231, 0}{308, 210.5, 0})
24.82,4,({294, 231, 0}{308, 210.5, 0})
33.26,6,({294, 231, 0}{318.5, 208.5, 0})
33.63,7,({294, 231, 0}{319, 208.5, 0})
6.4,25,({293, 140.5, 0}{298, 144.5, 0})
9.18,20,({293, 140.5, 0}{297.5, 148.5, 0})
10,26,({293, 140.5, 0}{285, 146.5, 0})
12.75,23,({293, 140.5, 0}{284.5, 150, 0})
17.44,33,({293, 140.5, 0}{277.5, 132.5, 0})
18.67,34,({265.5, 153, 0}{247, 155.5, 0})
18.9,14,({265.5, 153, 0}{277, 168, 0})
19.24,23,({265.5, 153, 0}{284.5, 150, 0})
20.52,13,({265.5, 153, 0}{277, 170, 0})
20.55,26,({265.5, 153, 0}{285, 146.5, 0})
23.5,32,({360.5, 193, 0}{360.5, 169.5, 0})
24.51,15,({360.5, 193, 0}{336, 193.5, 0})
32.87,44,({360.5, 193, 0}{390, 178.5, 0})
33.24,8,({360.5, 193, 0}{328.5, 202, 0})
42.3,48,({360.5, 193, 0}{383.5, 228.5, 0})
23.5,31,({360.5, 169.5, 0}{360.5, 193, 0})
24.88,38,({360.5, 169.5, 0}{370, 146.5, 0})
30.84,44,({360.5, 169.5, 0}{390, 178.5, 0})
31.98,16,({360.5, 169.5, 0}{329, 164, 0})
34.3,15,({360.5, 169.5, 0}{336, 193.5, 0})
9.5,36,({277.5, 132.5, 0}{277.5, 123, 0})
9.51,35,({277.5, 132.5, 0}{278, 123, 0})
15.88,26,({277.5, 132.5, 0}{285, 146.5, 0})
