Minor_dist,Minor_link,Minor_points
1.12,3,({334.5, 165.5, 0}{334, 166.5, 0})
35.53,0,({334.5, 165.5, 0}{333, 201, 0})
48.09,6,({334.5, 165.5, 0}{355, 209, 0})
52.83,12,({334.5, 165.5, 0}{385, 181, 0})
53.97,1,({334.5, 165.5, 0}{282, 178, 0})
15.91,2,({270.5, 166, 0}{281.5, 177.5, 0})
16.62,1,({270.5, 166, 0}{282, 178, 0})
30.3,7,({270.5, 166, 0}{246.5, 184.5, 0})
31,8,({270.5, 166, 0}{246, 185, 0})
41.23,9,({270.5, 166, 0}{286.5, 128, 0})
23.41,0,({355, 209, 0}{333, 201, 0})
26.83,11,({355, 209, 0}{379, 221, 0})
36.17,13,({355, 209, 0}{378.5, 236.5, 0})
36.88,14,({355, 209, 0}{379, 237, 0})
41.04,12,({355, 209, 0}{385, 181, 0})
0.71,8,({246.5, 184.5, 0}{246, 185, 0})
30.3,5,({246.5, 184.5, 0}{270.5, 166, 0})
35.69,2,({246.5, 184.5, 0}{281.5, 177.5, 0})
36.09,1,({246.5, 184.5, 0}{282, 178, 0})
69.23,9,({246.5, 184.5, 0}{286.5, 128, 0})
0.71,7,({246, 185, 0}{246.5, 184.5, 0})
31,5,({246, 185, 0}{270.5, 166, 0})
36.28,2,({246, 185, 0}{281.5, 177.5, 0})
36.67,1,({246, 185, 0}{282, 178, 0})
69.92,9,({246, 185, 0}{286.5, 128, 0})
5,10,({286.5, 128, 0}{282.5, 125, 0})
41.23,5,({286.5, 128, 0}{270.5, 166, 0})
49.75,2,({286.5, 128, 0}{281.5, 177.5, 0})
50.2,1,({286.5, 128, 0}{282, 178, 0})
60.91,4,({286.5, 128, 0}{334.5, 165.5, 0})
5,9,({282.5, 125, 0}{286.5, 128, 0})
42.72,5,({282.5, 125, 0}{270.5, 166, 0})
52.51,2,({282.5, 125, 0}{281.5, 177.5, 0})
53,1,({282.5, 125, 0}{282, 178, 0})
65.91,4,({282.5, 125, 0}{334.5, 165.5, 0})
15.51,13,({379, 221, 0}{378.5, 236.5, 0})
