Major_dist,Major_link,Major_points
3.91,3,({289.5, 183.5, 0}{286.5, 181, 0})
4.92,1,({289.5, 183.5, 0}{285, 181.5, 0})
16.35,7,({289.5, 183.5, 0}{304.5, 177, 0})
16.38,5,({289.5, 183.5, 0}{305.5, 180, 0})
1.58,1,({286.5, 181, 0}{285, 181.5, 0})
3.91,2,({286.5, 181, 0}{289.5, 183.5, 0})
3.91,0,({286.5, 181, 0}{289, 184, 0})
18.07,4,({286.5, 181, 0}{269, 176.5, 0})
18.44,7,({286.5, 181, 0}{304.5, 177, 0})
9.62,6,({269, 176.5, 0}{267.5, 167, 0})
13.73,9,({269, 176.5, 0}{271.5, 163, 0})
14.58,8,({269, 176.5, 0}{274.5, 163, 0})
16.76,1,({269, 176.5, 0}{285, 181.5, 0})
18.07,3,({269, 176.5, 0}{286.5, 181, 0})
3.16,7,({305.5, 180, 0}{304.5, 177, 0})
13.76,12,({305.5, 180, 0}{301, 167, 0})
13.76,11,({305.5, 180, 0}{301, 167, 0})
16.38,2,({305.5, 180, 0}{289.5, 183.5, 0})
16.98,0,({305.5, 180, 0}{289, 184, 0})
5.66,9,({267.5, 167, 0}{271.5, 163, 0})
8.06,8,({267.5, 167, 0}{274.5, 163, 0})
9.62,4,({267.5, 167, 0}{269, 176.5, 0})
22.73,1,({267.5, 167, 0}{285, 181.5, 0})
23.6,3,({267.5, 167, 0}{286.5, 181, 0})
3.16,5,({304.5, 177, 0}{305.5, 180, 0})
10.59,12,({304.5, 177, 0}{301, 167, 0})
10.59,11,({304.5, 177, 0}{301, 167, 0})
16.35,2,({304.5, 177, 0}{289.5, 183.5, 0})
17.01,0,({304.5, 177, 0}{289, 184, 0})
3,9,({274.5, 163, 0}{271.5, 163, 0})
8.06,6,({274.5, 163, 0}{267.5, 167, 0})
14.58,4,({274.5, 163, 0}{269, 176.5, 0})
21.27,1,({274.5, 163, 0}{285, 181.5, 0})
21.51,21,({274.5, 163, 0}{274, 141.5, 0})
3,8,({271.5, 163, 0}{274.5, 163, 0})
5.66,6,({271.5, 163, 0}{267.5, 167, 0})
13.73,4,({271.5, 163, 0}{269, 176.5, 0})
21.64,21,({271.5, 163, 0}{274, 141.5, 0})
22.5,22,({271.5, 163, 0}{258, 145, 0})
15.53,16,({251, 218.5, 0}{250, 234, 0})
23.26,15,({251, 218.5, 0}{261, 239.5, 0})
25.11,28,({251, 218.5, 0}{236.5, 239, 0})
25.11,27,({251, 218.5, 0}{236.5, 239, 0})
27.46,35,({251, 218.5, 0}{228, 233.5, 0})
0,12,({301, 167, 0}{301, 167, 0})
10.59,7,({301, 167, 0}{304.5, 177, 0})
13.04,17,({301, 167, 0}{308, 156, 0})
13.76,5,({301, 167, 0}{305.5, 180, 0})
14.5,18,({301, 167, 0}{311.5, 157, 0})
0,11,({301, 167, 0}{301, 167, 0})
10.59,7,({301, 167, 0}{304.5, 177, 0})
13.04,17,({301, 167, 0}{308, 156, 0})
13.76,5,({301, 167, 0}{305.5, 180, 0})
14.5,18,({301, 167, 0}{311.5, 157, 0})
15.04,20,({241, 180.5, 0}{226.5, 184.5, 0})
16.77,19,({241, 180.5, 0}{226, 188, 0})
17.73,25,({241, 180.5, 0}{229.5, 167, 0})
19.78,29,({241, 180.5, 0}{222.5, 173.5, 0})
20.55,31,({241, 180.5, 0}{221.5, 174, 0})
13.9,23,({287, 239.5, 0}{295.5, 250.5, 0})
20.55,26,({287, 239.5, 0}{273.5, 255, 0})
23.05,36,({287, 239.5, 0}{304.5, 254.5, 0})
23.48,38,({287, 239.5, 0}{276.5, 260.5, 0})
23.48,37,({287, 239.5, 0}{276.5, 260.5, 0})
12.3,16,({261, 239.5, 0}{250, 234, 0})
18.2,39,({261, 239.5, 0}{250, 254, 0})
19.91,26,({261, 239.5, 0}{273.5, 255, 0})
20.4,42,({261, 239.5, 0}{249, 256, 0})
20.7,44,({261, 239.5, 0}{248.5, 256, 0})
12.3,15,({250, 234, 0}{261, 239.5, 0})
14.4,28,({250, 234, 0}{236.5, 239, 0})
14.4,27,({250, 234, 0}{236.5, 239, 0})
15.53,10,({250, 234, 0}{251, 218.5, 0})
18.36,40,({250, 234, 0}{234, 243, 0})
3.64,18,({308, 156, 0}{311.5, 157, 0})
13.04,12,({308, 156, 0}{301, 167, 0})
13.04,11,({308, 156, 0}{301, 167, 0})
13.93,33,({308, 156, 0}{321, 151, 0})
21.29,7,({308, 156, 0}{304.5, 177, 0})
3.64,17,({311.5, 157, 0}{308, 156, 0})
11.24,33,({311.5, 157, 0}{321, 151, 0})
14.5,12,({311.5, 157, 0}{301, 167, 0})
14.5,11,({311.5, 157, 0}{301, 167, 0})
21.19,7,({311.5, 157, 0}{304.5, 177, 0})
3.54,20,({226, 188, 0}{226.5, 184.5, 0})
13.46,43,({226, 188, 0}{214.5, 181, 0})
14.71,31,({226, 188, 0}{221.5, 174, 0})
14.92,29,({226, 188, 0}{222.5, 173.5, 0})
16.77,13,({226, 188, 0}{241, 180.5, 0})
3.54,19,({226.5, 184.5, 0}{226, 188, 0})
11.63,31,({226.5, 184.5, 0}{221.5, 174, 0})
11.7,29,({226.5, 184.5, 0}{222.5, 173.5, 0})
12.5,43,({226.5, 184.5, 0}{214.5, 181, 0})
14.23,34,({226.5, 184.5, 0}{222, 171, 0})
16.38,22,({274, 141.5, 0}{258, 145, 0})
21.51,8,({274, 141.5, 0}{274.5, 163, 0})
21.64,9,({274, 141.5, 0}{271.5, 163, 0})
26.32,6,({274, 141.5, 0}{267.5, 167, 0})
35.36,4,({274, 141.5, 0}{269, 176.5, 0})
16.38,21,({258, 145, 0}{274, 141.5, 0})
22.5,9,({258, 145, 0}{271.5, 163, 0})
23.96,6,({258, 145, 0}{267.5, 167, 0})
24.42,8,({258, 145, 0}{274.5, 163, 0})
24.99,32,({258, 145, 0}{234.5, 153.5, 0})
9.85,36,({295.5, 250.5, 0}{304.5, 254.5, 0})
13.9,14,({295.5, 250.5, 0}{287, 239.5, 0})
17.22,24,({295.5, 250.5, 0}{311, 243, 0})
21.47,38,({295.5, 250.5, 0}{276.5, 260.5, 0})
21.47,37,({295.5, 250.5, 0}{276.5, 260.5, 0})
13.21,36,({311, 243, 0}{304.5, 254.5, 0})
17.22,23,({311, 243, 0}{295.5, 250.5, 0})
24.25,14,({311, 243, 0}{287, 239.5, 0})
38.68,38,({311, 243, 0}{276.5, 260.5, 0})
38.68,37,({311, 243, 0}{276.5, 260.5, 0})
8.5,34,({229.5, 167, 0}{222, 171, 0})
9.55,29,({229.5, 167, 0}{222.5, 173.5, 0})
10.63,31,({229.5, 167, 0}{221.5, 174, 0})
14.4,32,({229.5, 167, 0}{234.5, 153.5, 0})
17.73,13,({229.5, 167, 0}{241, 180.5, 0})
6.26,38,({273.5, 255, 0}{276.5, 260.5, 0})
6.26,37,({273.5, 255, 0}{276.5, 260.5, 0})
14.5,46,({273.5, 255, 0}{273.5, 269.5, 0})
19.91,15,({273.5, 255, 0}{261, 239.5, 0})
20.55,14,({273.5, 255, 0}{287, 239.5, 0})
0,28,({236.5, 239, 0}{236.5, 239, 0})
4.72,40,({236.5, 239, 0}{234, 243, 0})
10.12,35,({236.5, 239, 0}{228, 233.5, 0})
11.07,45,({236.5, 239, 0}{233, 249.5, 0})
14.4,16,({236.5, 239, 0}{250, 234, 0})
0,27,({236.5, 239, 0}{236.5, 239, 0})
4.72,40,({236.5, 239, 0}{234, 243, 0})
10.12,35,({236.5, 239, 0}{228, 233.5, 0})
11.07,45,({236.5, 239, 0}{233, 249.5, 0})
14.4,16,({236.5, 239, 0}{250, 234, 0})
1.12,31,({222.5, 173.5, 0}{221.5, 174, 0})
2.55,34,({222.5, 173.5, 0}{222, 171, 0})
9.55,25,({222.5, 173.5, 0}{229.5, 167, 0})
10.97,43,({222.5, 173.5, 0}{214.5, 181, 0})
11.7,20,({222.5, 173.5, 0}{226.5, 184.5, 0})
10.05,41,({221.5, 219, 0}{222.5, 229, 0})
14.56,47,({221.5, 219, 0}{207.5, 215, 0})
15.89,35,({221.5, 219, 0}{228, 233.5, 0})
16.77,49,({221.5, 219, 0}{206.5, 211.5, 0})
25,28,({221.5, 219, 0}{236.5, 239, 0})
1.12,29,({221.5, 174, 0}{222.5, 173.5, 0})
3.04,34,({221.5, 174, 0}{222, 171, 0})
9.9,43,({221.5, 174, 0}{214.5, 181, 0})
10.63,25,({221.5, 174, 0}{229.5, 167, 0})
11.63,20,({221.5, 174, 0}{226.5, 184.5, 0})
14.4,25,({234.5, 153.5, 0}{229.5, 167, 0})
21.51,34,({234.5, 153.5, 0}{222, 171, 0})
23.32,29,({234.5, 153.5, 0}{222.5, 173.5, 0})
24.27,31,({234.5, 153.5, 0}{221.5, 174, 0})
24.99,22,({234.5, 153.5, 0}{258, 145, 0})
11.24,18,({321, 151, 0}{311.5, 157, 0})
13.93,17,({321, 151, 0}{308, 156, 0})
14.32,51,({321, 151, 0}{324, 137, 0})
25.61,12,({321, 151, 0}{301, 167, 0})
25.61,11,({321, 151, 0}{301, 167, 0})
2.55,29,({222, 171, 0}{222.5, 173.5, 0})
3.04,31,({222, 171, 0}{221.5, 174, 0})
8.5,25,({222, 171, 0}{229.5, 167, 0})
12.5,43,({222, 171, 0}{214.5, 181, 0})
14.23,20,({222, 171, 0}{226.5, 184.5, 0})
7.11,41,({228, 233.5, 0}{222.5, 229, 0})
10.12,28,({228, 233.5, 0}{236.5, 239, 0})
10.12,27,({228, 233.5, 0}{236.5, 239, 0})
11.24,40,({228, 233.5, 0}{234, 243, 0})
15.89,30,({228, 233.5, 0}{221.5, 219, 0})
9.85,23,({304.5, 254.5, 0}{295.5, 250.5, 0})
13.21,24,({304.5, 254.5, 0}{311, 243, 0})
23.05,14,({304.5, 254.5, 0}{287, 239.5, 0})
28.64,38,({304.5, 254.5, 0}{276.5, 260.5, 0})
28.64,37,({304.5, 254.5, 0}{276.5, 260.5, 0})
0,38,({276.5, 260.5, 0}{276.5, 260.5, 0})
6.26,26,({276.5, 260.5, 0}{273.5, 255, 0})
9.49,46,({276.5, 260.5, 0}{273.5, 269.5, 0})
