timestep, mesh 1 face centerpoint, mesh 1 color code, mesh 1 normal, Mesh 1 face centerpoint to Mesh 1 face n+1 centerpoint distance, Mesh 1 face centerpoint vector to Mesh 1 face n+1 centerpoint vector angle
33,(32.5, 34, 12.75),(241,48,19),(-0.4, 0.3, 0.86),0,0,
34,(-35.75, 33.75, 13),(243,57,0),(-0.32, -0.22, -0.92),0,0,
34,(-35.75, 33.75, 13),(236,28,58),(-0.32, -0.22, -0.92),0,0,
34,(-35.75, 33.75, 13),(241,48,19),(-0.32, -0.22, -0.92),0,0,
35,(-37.5, -37.5, 13.25),(243,57,0),(0.2, -0.3, -0.93),0,0,
35,(-37.5, -37.5, 13.25),(237,30,54),(0.2, -0.3, -0.93),0,0,
35,(-37.5, -37.5, 13.25),(241,49,16),(0.2, -0.3, -0.93),0,0,
36,(36.75, -37.25, 13.5),(243,57,0),(0.14, 0.25, 0.96),0,0,
36,(36.75, -37.25, 13.5),(237,30,53),(0.14, 0.25, 0.96),0,0,
36,(36.75, -37.25, 13.5),(241,49,16),(0.14, 0.25, 0.96),0,0,
37,(37.5, 39, 13.75),(243,57,0),(-0.41, 0.3, 0.86),0,0,
37,(37.5, 39, 13.75),(237,31,52),(-0.41, 0.3, 0.86),0,0,
37,(37.5, 39, 13.75),(241,50,15),(-0.41, 0.3, 0.86),0,0,
38,(-41.75, 39.75, 14),(243,57,0),(-0.32, -0.22, -0.92),0,0,
38,(-41.75, 39.75, 14),(237,32,51),(-0.32, -0.22, -0.92),0,0,
38,(-41.75, 39.75, 14),(241,50,14),(-0.32, -0.22, -0.92),0,0,
39,(-42, -42, 14.25),(243,57,0),(0.18, -0.29, -0.94),0,0,
39,(-42, -42, 14.25),(237,33,49),(0.18, -0.29, -0.94),0,0,
39,(-42, -42, 14.25),(241,50,13),(0.18, -0.29, -0.94),0,0,
40,(42.25, -42.75, 14.5),(243,57,0),(0.13, 0.26, 0.96),0,0,
40,(42.25, -42.75, 14.5),(238,34,47),(0.13, 0.26, 0.96),0,0,
40,(42.25, -42.75, 14.5),(242,51,12),(0.13, 0.26, 0.96),0,0,
41,(43, 44.5, 14.75),(243,57,0),(-0.42, 0.3, 0.86),0,0,
41,(43, 44.5, 14.75),(238,34,45),(-0.42, 0.3, 0.86),0,0,
41,(43, 44.5, 14.75),(242,51,12),(-0.42, 0.3, 0.86),0,0,
42,(-46.25, 44.25, 15),(243,57,0),(-0.33, -0.21, -0.92),0,0,
42,(-46.25, 44.25, 15),(238,35,45),(-0.33, -0.21, -0.92),0,0,
