O(-10285505883674800000000000.00,2356670666426690000000000.00,-466264576600992000000000.00) Z(-0.11,-0.62,-0.77) K1{0.200212,0.748804,-0.631829} K2{-0.973791,0.22312,-0.044144}
O(-4049551613378080000000000.00,1543599539021840000000000.00,-189436668190746000000000.00) Z(-0.15,-0.49,-0.86) K1{0.326256,0.79272,-0.514929} K2{-0.933526,0.35584,-0.04367}
O(-1325171526686810000000000.00,1117233584512060000000000.00,-67818052745401900000000.00) Z(-0.19,-0.29,-0.94) K1{0.615417,0.709062,-0.344228} K2{-0.763957,0.644082,-0.039097}
O(1319326237321590000000000.00,664703597740897000000000.00,50602642904664700000000.00) Z(-0.26,0.57,-0.78) K1{0.370969,-0.688905,-0.622729} K2{0.892535,0.449677,0.034233}
O(3968120740386040000000000.00,170759661592866000000000.00,169602987798946000000000.00) Z(-0.05,0.97,0.25) K1{0.030604,0.25002,-0.967757} K2{0.998166,0.042954,0.042663}
O(9621030650695630000000000.00,-1062022735198580000000000.00,425267424541926000000000.00) Z(0.06,0.79,0.61) K1{0.101895,0.607706,-0.787598} K2{0.993005,-0.109613,0.043893}
O(13125205483658600000000000.00,-1997163925516470000000000.00,585378294458083000000000.00) Z(0.08,0.74,0.67) K1{0.133206,0.658256,-0.740915} K2{0.987661,-0.150285,0.044049}
O(19047736542205900000000000.00,-4164864118284850000000000.00,861577017624716000000000.00) Z(0.12,0.69,0.71) K1{-0.182551,-0.689992,0.700418} K2{-0.975967,0.213399,-0.044145}
O(17327971256582400000000000.00,-13927310028340100000000000.00,880300047954970000000000.00) Z(0.46,0.61,0.64) K1{-0.42617,-0.481834,0.765647} K2{-0.778832,0.625984,-0.039566}
O(8934423254347890000000000.00,-10180704215182400000000000.00,482443989740854000000000.00) Z(0.67,0.60,0.44) K1{-0.350197,-0.264749,0.898482} K2{-0.659186,0.751137,-0.035595}
O(5482287801520090000000000.00,-7428325324706800000000000.00,307279274868469000000000.00) Z(0.77,0.58,0.26) K1{-0.228551,-0.128759,0.96498} K2{-0.593487,0.804156,-0.033265}
O(2166788302313850000000000.00,-5550560534785970000000000.00,146335284461864000000000.00) Z(0.79,0.29,-0.54) K1{-0.494983,-0.215421,-0.841775} K2{0.363537,-0.931256,0.024552}
O(-3140329553055310000000000.00,-1790795357165410000000000.00,-118465120783518000000000.00) Z(0.15,-0.20,-0.97) K1{-0.47197,0.844408,-0.253415} K2{-0.868215,-0.495106,-0.032752}
O(-8349326541185580000000000.00,1773819321603130000000000.00,-377173558582912000000000.00) Z(-0.02,-0.29,-0.96) K1{0.211398,0.933376,-0.290033} K2{-0.977215,0.20761,-0.044145}
O(-10755500451316000000000000.00,4002416100261780000000000.00,-502217872045987000000000.00) Z(-0.08,-0.32,-0.94) K1{-0.342727,-0.879597,0.329919} K2{0.936315,-0.348429,0.04372}
O(-11872131637263000000000000.00,7792398232198480000000000.00,-586477940828261000000000.00) Z(-0.18,-0.35,-0.92) K1{-0.517812,-0.759243,0.394233} K2{0.835294,-0.548254,0.041263}
O(-10628111767429600000000000.00,13199423260994100000000000.00,-584263208029847000000000.00) Z(-0.38,-0.34,-0.86) K1{-0.68266,-0.52728,0.505916} K2{0.626787,-0.778429,0.034457}
O(6649131203433830000000000.00,5602930977492950000000000.00,233591156444188000000000.00) Z(-0.35,0.45,-0.82) K1{-0.541966,0.619488,0.567897} K2{-0.764428,-0.64415,-0.026855}
O(6919911057566220000000000.00,2716795240167500000000000.00,272747704077262000000000.00) Z(-0.14,0.45,-0.88) K1{-0.339264,0.817392,0.465587} K2{-0.930205,-0.365204,-0.036664}
O(6369664616066670000000000.00,-3000350088530860000000000.00,303422523938351000000000.00) Z(0.20,0.32,-0.93) K1{-0.380887,-0.846281,-0.372469} K2{0.903823,-0.425735,0.043054}
O(5539685276542330000000000.00,-6035668645484070000000000.00,296499167910300000000000.00) Z(0.30,0.23,-0.92) K1{-0.671959,-0.635427,-0.380399} K2{0.675746,-0.736247,0.036168}
O(1906868120979850000000000.00,-12406862921273200000000000.00,200380621297452000000000.00) Z(0.43,0.05,-0.90) K1{-0.892114,-0.144029,-0.428239} K2{0.151892,-0.988268,0.015961}
O(-7126984314821590000000000.00,-17984389256237200000000000.00,-136357776018098000000000.00) Z(0.44,-0.17,-0.88) K1{0.819356,-0.328264,0.469999} K2{0.368404,0.929639,0.007049}
O(-14982552710367800000000000.00,-16109786814871500000000000.00,-493184469911831000000000.00) Z(0.35,-0.30,-0.89) K1{0.64239,-0.611579,0.461851} K2{0.680853,0.732078,0.022412}
O(-18602455398848900000000000.00,-8427121009677760000000000.00,-722518312608668000000000.00) Z(0.20,-0.37,-0.91) K1{0.361846,-0.834402,0.41574} K2{0.910323,0.412386,0.035357}
O(-6589721520183570000000000.00,5734113598589780000000000.00,-338939911848397000000000.00) Z(-0.12,-0.20,-0.97) K1{0.645874,0.728809,-0.227343} K2{-0.753816,0.655941,-0.038772}
O(-3344800422375780000000000.00,6740492173315400000000000.00,-208494495990306000000000.00) Z(-0.17,-0.11,-0.98) K1{-0.87974,-0.430293,0.20225} K2{0.444336,-0.895432,0.027697}
O(3165658330024510000000000.00,7475557486530020000000000.00,65447803104807300000000.00) Z(-0.24,0.11,-0.96) K1{-0.888418,0.373885,0.266313} K2{-0.389933,-0.920808,-0.008062}
O(10211601315373700000000000.00,6292068997336230000000000.00,380759177105091000000000.00) Z(-0.24,0.44,-0.86) K1{0.466761,-0.727051,-0.503519} K2{0.850932,0.524317,0.031729}
O(14149276589323100000000000.00,4360804198723050000000000.00,569060455141296000000000.00) Z(-0.17,0.64,-0.75) K1{-0.245642,0.711048,0.658841} K2{-0.954938,-0.294312,-0.038406}
O(19018282127878900000000000.00,-7172994530360840000000000.00,888952799392289000000000.00) Z(0.32,0.77,-0.55) K1{-0.159567,-0.526558,-0.83503} K2{0.934769,-0.35256,0.043693}
O(13341626531262500000000000.00,-12822909723137100000000000.00,697773057009456000000000.00) Z(0.51,0.49,-0.71) K1{-0.470598,-0.528099,-0.706859} K2{0.720472,-0.69246,0.037681}
O(7063788096704590000000000.00,-13034196077434500000000000.00,428883165675535000000000.00) Z(0.50,0.24,-0.83) K1{-0.722082,-0.40967,-0.557466} K2{0.476272,-0.878823,0.028917}
O(2741138457842070000000000.00,-11385054366136600000000000.00,226654892447594000000000.00) Z(0.44,0.09,-0.89) K1{0.865048,0.217277,0.452197} K2{-0.234034,0.972036,-0.019351}
O(-348968454130001000000000.00,-9358955077380600000000000.00,74025158812644800000000.00) Z(0.37,-0.02,-0.93) K1{0.927969,-0.031664,0.371309} K2{0.03726,0.999274,-0.007904}
O(-2732289074540890000000000.00,-7124405398233010000000000.00,-50089513723054000000000.00) Z(0.29,-0.11,-0.95) K1{-0.886926,0.342326,-0.31012} K2{-0.358073,-0.93367,-0.006564}
O(-6143378060074020000000000.00,-2225410415368150000000000.00,-243916087387925000000000.00) Z(0.12,-0.23,-0.97) K1{-0.320608,0.912791,-0.253028} K2{-0.939558,-0.340351,-0.037304}
O(-7312798289606780000000000.00,480772946386740000000000.00,-320137846186920000000000.00) Z(0.02,-0.27,-0.96) K1{-0.074822,-0.961138,0.265734} K2{0.996895,-0.06554,0.043642}
O(-8118319371672180000000000.00,3447748893791260000000000.00,-383139021288109000000000.00) Z(-0.08,-0.30,-0.95) K1{0.384332,0.870953,-0.306153} K2{-0.919567,0.390529,-0.043398}
O(-7977031259468910000000000.00,10902051944273100000000000.00,-447996414983765000000000.00) Z(-0.36,-0.30,-0.89) K1{-0.724882,-0.511432,0.461501} K2{0.590182,-0.80659,0.033145}
O(1285142825782170000000000.00,18126092637225100000000000.00,-117077906834344000000000.00) Z(-0.73,0.05,-0.68) K1{-0.682421,0.053093,0.729029} K2{-0.070721,-0.997475,0.006443}
O(7211361917182580000000000.00,14339715267255400000000000.00,174690959626027000000000.00) Z(-0.63,0.33,-0.70) K1{-0.629473,0.307867,0.713429} K2{-0.449254,-0.893338,-0.010883}
O(8867708690212610000000000.00,9261593610574210000000000.00,294501993680523000000000.00) Z(-0.41,0.42,-0.81) K1{0.591832,-0.547861,-0.591256} K2{0.691398,0.722109,0.022962}
O(7694220322989730000000000.00,1983993699165750000000000.00,313135965506816000000000.00) Z(-0.05,0.34,-0.94) K1{0.247453,-0.905075,-0.345841} K2{0.967575,0.249494,0.039378}
O(6392487697119290000000000.00,-670784857301254000000000.00,282233323244897000000000.00) Z(0.07,0.27,-0.96) K1{-0.0884,-0.957684,-0.273909} K2{0.993582,-0.10426,0.043867}
O(4855225964836060000000000.00,-2912055888397160000000000.00,237231138804224000000000.00) Z(0.16,0.19,-0.97) K1{-0.489847,-0.836674,-0.245003} K2{0.856825,-0.513905,0.041865}
O(1153584787520230000000000.00,-6470116243194240000000000.00,111365684500478000000000.00) Z(0.28,0.03,-0.96) K1{-0.944242,-0.173173,-0.280031} K2{0.175501,-0.984333,0.016943}
O(-3877285958716390000000000.00,-8878885459391080000000000.00,-82798260174253500000000.00) Z(0.33,-0.14,-0.93) K1{0.853395,-0.376032,0.360993} K2{0.400178,0.916398,0.008546}
O(-10656824061193000000000000.00,2707712210263070000000000.00,-485636416403528000000000.00) Z(-0.06,-0.40,-0.92) K1{0.242858,0.8843,-0.39879} K2{-0.96826,0.246018,-0.044124}
O(-7429300419404190000000000.00,4316646786411060000000000.00,-361677183368713000000000.00) Z(-0.14,-0.31,-0.94) K1{0.484924,0.806192,-0.338973} K2{-0.863879,0.50194,-0.042056}
O(-4663849463410920000000000.00,4850276134270010000000000.00,-247421919733934000000000.00) Z(-0.18,-0.22,-0.96) K1{0.698864,0.657658,-0.281204} K2{-0.69265,0.720337,-0.036746}
O(-2261680980972130000000000.00,4878515529385700000000000.00,-144032427138543000000000.00) Z(-0.20,-0.12,-0.97) K1{0.88533,0.403624,-0.23082} K2{-0.420449,0.906921,-0.026776}
O(-83276671909942300000000.00,4597921096376060000000000.00,-47359148128115100000000.00) Z(-0.20,-0.01,-0.98) K1{0.979576,0.015677,-0.200461} K2{-0.018108,0.999783,-0.010298}
O(1979052873861610000000000.00,4066060838504660000000000.00,46696974720918800000000.00) Z(-0.18,0.10,-0.98) K1{0.8803,-0.426068,-0.208658} K2{0.437616,0.899103,0.010326}
O(4009129033189230000000000.00,3265691525864490000000000.00,141917114035289000000000.00) Z(-0.14,0.22,-0.96) K1{0.615108,-0.743768,-0.261631} K2{0.775038,0.631318,0.027435}
O(6073064866683820000000000.00,2108045839139400000000000.00,241999129574865000000000.00) Z(-0.08,0.34,-0.94) K1{-0.319892,0.881788,0.346582} K2{-0.944037,-0.327688,-0.037618}
O(11271630662888000000000000.00,-6989971422680120000000000.00,552927519116603000000000.00) Z(0.36,0.52,-0.77) K1{0.384577,0.670347,0.634614} K2{-0.849112,0.526567,-0.041653}
O(7918379279566890000000000.00,-11988791612237800000000000.00,455809715064180000000000.00) Z(0.53,0.32,-0.79) K1{-0.64455,-0.449235,-0.618663} K2{0.550845,-0.834005,0.031709}
O(2459690522383770000000000.00,-12272200974511100000000000.00,222954221432206000000000.00) Z(0.51,0.09,-0.86) K1{-0.839329,-0.17756,-0.513809} K2{0.196488,-0.980344,0.01781}
O(-966679687526927000000000.00,-10139379967772600000000000.00,54798214944899300000000.00) Z(0.42,-0.04,-0.91) K1{-0.902752,0.083787,-0.421923} K2{-0.094907,-0.995472,0.00538}
O(-5255977737653970000000000.00,-2607675808542810000000000.00,-201984435941074000000000.00) Z(0.14,-0.20,-0.97) K1{-0.424011,0.873231,-0.240172} K2{-0.895277,-0.444179,-0.034405}
O(-5777455394001870000000000.00,91403255310144800000000.00,-250178572311583000000000.00) Z(0.04,-0.22,-0.98) K1{0.02477,0.976222,-0.215353} K2{-0.998939,0.015804,-0.043257}
O(-5590458508040530000000000.00,6147907611132950000000000.00,-299758513275063000000000.00) Z(-0.17,-0.20,-0.96) K1{0.720043,0.6419,-0.263634} K2{-0.672331,0.739372,-0.03605}
O(-4552771012557590000000000.00,9651546072971210000000000.00,-288329865174379000000000.00) Z(-0.29,-0.17,-0.94) K1{0.856474,0.39405,-0.333433} K2{-0.426475,0.904096,-0.027009}
O(-2217591625131230000000000.00,13511068203187300000000000.00,-224299381981922000000000.00) Z(-0.42,-0.08,-0.90) K1{-0.890884,-0.139043,0.432425} K2{0.161943,-0.986664,0.01638}
O(2889109992728450000000000.00,16858854269430600000000000.00,-35801279119083300000000.00) Z(-0.55,0.09,-0.83) K1{-0.815373,0.140923,0.561522} K2{-0.168908,-0.98563,0.002093}
O(13071019525638800000000000.00,8350515678404180000000000.00,484555306355736000000000.00) Z(-0.25,0.44,-0.86) K1{-0.476516,0.71631,0.509738} K2{-0.842297,-0.538108,-0.031225}
O(7074524267925780000000000.00,-2630710941538270000000000.00,330320235888528000000000.00) Z(0.12,0.21,-0.97) K1{0.328519,0.91356,0.239758} K2{-0.936398,0.348206,-0.043722}
O(-1108870644482100000000000.00,-6999653061767280000000000.00,18776705844696200000000.00) Z(0.24,-0.04,-0.97) K1{-0.95792,0.151097,-0.244046} K2{-0.156466,-0.98768,0.002649}
O(-4356633254343050000000000.00,-7667492413651740000000000.00,-115013768429974000000000.00) Z(0.25,-0.13,-0.96) K1{-0.83171,0.47684,-0.284397} K2{-0.493976,-0.869378,-0.013041}
O(-8156799467819970000000000.00,-7732492553671940000000000.00,-278379704430331000000000.00) Z(0.25,-0.23,-0.94) K1{0.641478,-0.688834,0.33766} K2{0.725508,0.687768,0.024761}
